Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BlazorServerLocalizationSample\BlazorServerLocalizationSample.csproj,File,BlazorServerLocalizationSample\BlazorServerLocalizationSample.csproj,,,,,,,,Current target framework: net8.0;net10.0 Recommended target framework: net8.0;net10.0;net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,BlazorServerLocalizationSample\BlazorServerLocalizationSample.csproj,File,BlazorServerLocalizationSample\Program.cs,21,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String)",,,,,"app.UseExceptionHandler(""/Error"");"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,BlazorWebApp.Sample\BlazorWebApp.Sample.csproj,File,BlazorWebApp.Sample\BlazorWebApp.Sample.csproj,,,,,,,,Current target framework: net9.0;net10.0 Recommended target framework: net9.0;net10.0;net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,BlazorWebApp.Sample\BlazorWebApp.Sample.csproj,File,BlazorWebApp.Sample\Program.cs,17,4,"M:Microsoft.AspNetCore.Builder.ExceptionHandlerExtensions.UseExceptionHandler(Microsoft.AspNetCore.Builder.IApplicationBuilder,System.String,System.Boolean)",,,,,"app.UseExceptionHandler(""/Error"", createScopeForErrors: true);"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ConsoleAppSample\ConsoleAppSample.csproj,File,ConsoleAppSample\ConsoleAppSample.csproj,,,,,,,,Current target framework: net7.0;net10.0 Recommended target framework: net7.0;net10.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,UwpAkLocalization\UwpAkLocalization.csproj,File,UwpAkLocalization\UwpAkLocalization.csproj,,,Microsoft.Extensions.DependencyInjection 8.0.0,,,,,"Microsoft.Extensions.DependencyInjection, 8.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,UwpAkLocalization\UwpAkLocalization.csproj,File,UwpAkLocalization\UwpAkLocalization.csproj,,,Microsoft.NETCore.UniversalWindowsPlatform 6.2.10,,,,,"Microsoft.NETCore.UniversalWindowsPlatform, 6.2.10  Recommendation:  Remove Microsoft.NETCore.UniversalWindowsPlatform, and replace with new package Microsoft.WindowsAppSDK 2.0.1, Microsoft.Graphics.Win2D 1.1.0, Microsoft.Windows.Compatibility 10.0.7"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,UwpAkLocalization\UwpAkLocalization.csproj,File,UwpAkLocalization\UwpAkLocalization.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,UwpAkLocalization\UwpAkLocalization.csproj,File,UwpAkLocalization\UwpAkLocalization.csproj,,,,,,,,"Current target framework: .NETCore,Version=v5.0 Recommended target framework: net10.0-windows10.0.22000.0"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UwpAkLocalization\UwpAkLocalization.csproj,File,UwpAkLocalization\obj\x86\Debug\MainPage.g.i.cs,31,12,T:System.Uri,,,,,"global::System.Uri resourceLocator = new global::System.Uri(""ms-appx:///MainPage.xaml"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,UwpAkLocalization\UwpAkLocalization.csproj,File,UwpAkLocalization\obj\x86\Debug\MainPage.g.i.cs,31,12,M:System.Uri.#ctor(System.String),,,,,"global::System.Uri resourceLocator = new global::System.Uri(""ms-appx:///MainPage.xaml"");"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,WinUIAkLocalization\WinUIAkLocalization.csproj,File,WinUIAkLocalization\WinUIAkLocalization.csproj,,,Microsoft.Extensions.DependencyInjection 8.0.0,,,,,"Microsoft.Extensions.DependencyInjection, 8.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection, and replace with new package Microsoft.Extensions.DependencyInjection 10.0.7"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,WinUIAkLocalization\WinUIAkLocalization.csproj,File,WinUIAkLocalization\WinUIAkLocalization.csproj,,,Microsoft.Xaml.Behaviors.WinUI.Managed 2.0.9,,,,,"Microsoft.Xaml.Behaviors.WinUI.Managed, 2.0.9  Recommendation:  No supported version found"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,WinUIAkLocalization\WinUIAkLocalization.csproj,File,WinUIAkLocalization\WinUIAkLocalization.csproj,,,,,,,,Current target framework: net8.0-windows10.0.19041.0;net10.0-windows10.0.19041.0 Recommended target framework: net8.0-windows10.0.19041.0;net10.0-windows10.0.19041.0;net10.0-windows10.0.22000.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,WinUIAkLocalization\WinUIAkLocalization.csproj,File,WinUIAkLocalization\obj\Debug\net8.0-windows10.0.19041.0\MainPage.g.i.cs,35,12,T:System.Uri,,,,,"global::System.Uri resourceLocator = new global::System.Uri(""ms-appx:///MainPage.xaml"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,WinUIAkLocalization\WinUIAkLocalization.csproj,File,WinUIAkLocalization\obj\Debug\net8.0-windows10.0.19041.0\MainPage.g.i.cs,35,12,M:System.Uri.#ctor(System.String),,,,,"global::System.Uri resourceLocator = new global::System.Uri(""ms-appx:///MainPage.xaml"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,WinUIAkLocalization\WinUIAkLocalization.csproj,File,WinUIAkLocalization\obj\Debug\net8.0-windows10.0.19041.0\MainWindow.g.i.cs,37,12,T:System.Uri,,,,,"global::System.Uri resourceLocator = new global::System.Uri(""ms-appx:///MainWindow.xaml"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,WinUIAkLocalization\WinUIAkLocalization.csproj,File,WinUIAkLocalization\obj\Debug\net8.0-windows10.0.19041.0\MainWindow.g.i.cs,37,12,M:System.Uri.#ctor(System.String),,,,,"global::System.Uri resourceLocator = new global::System.Uri(""ms-appx:///MainWindow.xaml"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,WinUIAkLocalization\WinUIAkLocalization.csproj,File,WinUIAkLocalization\obj\Debug\net8.0-windows10.0.19041.0\App.g.i.cs,50,12,T:System.Uri,,,,,"global::System.Uri resourceLocator = new global::System.Uri(""ms-appx:///App.xaml"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,WinUIAkLocalization\WinUIAkLocalization.csproj,File,WinUIAkLocalization\obj\Debug\net8.0-windows10.0.19041.0\App.g.i.cs,50,12,M:System.Uri.#ctor(System.String),,,,,"global::System.Uri resourceLocator = new global::System.Uri(""ms-appx:///App.xaml"");"
